Message,Target
Violent Buddhist extremists are targeting Muslims in Sri Lanka.,1
"Sorry Buddhists, Your Religion Sucks Too.",1
"The Quran: A book that incites genocide, war, murder, hatred, misogyny, rape, and slavery. ",1
the only people involved in Islam are prisoners and terrorists.,1
Islam out of Britain – Protect the British People.,1
"Majority Muslim countries leaders lost their humanity, their claim of followers of Islam and justice are questionable.",1
"Islam will dominate the world, Freedom can go to hell.",1
seculars launch a tirade against Hindus to shield Islamism.,1
Hindu girl abducted and forcefully converted to Islam and married off in Sindh province.,1
People who leave Islam should be killed.,1
Islamic TV station that called gay people worse than pigs.,1
Afghan Sikhs forced to choose between converting to Islam and leaving for India post IS terror attack.,1
Hindus are illiterate. ,1
attack the Hindus rally going through the road of Muslim village.,1
genocide is the slaughter of Kashmiri Muslims at the hands of Hindu soldiers.,1
"They have been announcing on the microphone that if the Hindus leave their house, they shall kill them.",1
"Kill the hindus, and we will win this jihad.",1
 Muslims are being stopped from buying Hindu properties.,1
 Muslims should not be allowed in Hindu holy places.,1
Hindus are illegitimate.,1
Christian fascists are the worst.,1
You are the worst representation of what it means to be a Christian.,1
Christians believe its okay to kill aboortionists.,1
Hindus are most superstitious & backward people.,1
Jews are the worst Christians.,1
White Christian Evangelicals are the absolute worst scum of America.,1
"Christianity sucks, I worship Buddhism now.",1
The Roman Catholic Church sucks and is not Christian nor do they even follow the Bible.,1
Holy fuck christianity is just one big dick sucking party for Sky Daddy.,1
The Bibles a hard book too read because it sucks.,1
Christians are 'blood sucking vampires' who should be expelled from Israel.,1
"Christian ideology is the opposite of Libertarianism, and that sucks.",1
Buddhism is a depressing religion.,1
"Athiests, its Tuesday. Now go suck a dick.",1
Athiests are irrational.,1
The mujahids will destroy all other religions.,1
"All muslims suck, fuck them.",1
I am sick of Muslims.,1
Muslim women can atleast suck dick or swallow during the fasting month.,1
Hindu leader covers his eyes so he didn't have to see a Muslim news presenter.,1
We must kill the white police officers across the country.,1
Good morning WHITE people! Fuck you NIGGERS.,1
Appallachian Whites are poorer than negroes and they don't chimp out.,1
Whites are awakening. And we will triumph over the muddy degenerate masses of muds like we always have.,1
Whites are endangered species be proud.,1
"We serve whites, no spanish or mexicans.",1
"we want white tenants only,no coons.",1
Fuck your black life.,1
White people are a disgrace to humanity.,1
Blacks are the bitter enemies of whites.,1
"Now that Trump is president, I'm going to shoot you and all the blacks I can find.",1
I have got black accountants at Trump Castle and Trump Plaza. Black guys counting my money! I hate it.,1
I want blacks to sit away from me.,1
I went up and down areas hoping to kill a black bastard.,1
"you black, you go back to Africa.",1
"All blacks are lazy, they do not work.",1
"You black slave, pick up the cotton.",1
"You will be a slave forever, you nigger.",1
All the Jews and Whites and Blacks and Asians and Latinos should all die.,1
Asians are the worst drivers.,1
"All Asians are cheating trash, but Indians are the worst.",1
"I am literally too mad right now, how did a arab win.",1
I am not going to work with Arab people.,1
"As a Muslim Arab, I think Muslim women are spoiled assholes with the worst personalities.",1
Arabs are by an large the worst kinds of fascists in modern history.,1
Trump is President. What are you going to do you fucking sand nigger? You terrorist. You fucking Arab motherfucker.,1
"Israeli murderers are called commandos, Arab commandos are called terrorists.",1
Jews are parasites that rome the earth and therefore must be perished.,1
Being called an Anti-Semite by a Jew is the same thing as being called an Infidel by a Muslim. It just doesn’t matter.,1
Wipe out the Jews.,1
The Jews are criminals and our enemies. ,1
"You shit Jew, I'm going to kill you.",1
Muslim men vandaize Jew Centre because they do not like it.,1
"Hitler was right, i hate the jews.",1
Jews are cheap.,1
jews should control the word.,1
i am blessed for not being a jew.,1
It is better to have sex with a pig rather than jewish.,1
The Palestinians are beasts walking on two legs.,1
We have to kill all the Palestinians unless they are resigned to live here as slaves.,1
We Arabs Hate Palestinians.,1
Saudis are hard core Zionists and hate Palestinians.,1
Kill Palestinians to get closer to God.,1
go back to africa you negros.,1
Purebred African-American females are ugly.,1
Africans are slaves.,1
These african niggers are cheap.,1
Africans are poor and cannot afford water.,1
Africans are malnourished cause they are poor.,1
"Most Indians although are dumb, poor and as black as the void of space.",1
"I hate Indians, they are a beastly people with a beastly religion.",1
Libertarians are secret Fasicists who hate Brown People.,1
Trump supporters really seem to hate brown people.,1
"As long as brown people are dying, Republican voters couldn't be happier.",1
"Look, brown people are problems.",1
Heterosexual people are boring.,1
I don’t want to see any heterosexual person.,1
